No,PM_US_Post,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
17443,36,2011,12,28,18,4,4,62,1027.1,11,NE,8,0,0
17444,41,2011,12,28,19,4,4,62,1027.1,11,NE,9,0,0
17445,44,2011,12,28,20,4,5,71.07,1028.1,10,NE,11,0,0
17446,40,2011,12,28,21,4,5,71.07,1028.1,10,NE,13,0,0
17447,25,2011,12,28,22,4,6,76.18,1028.1,10,NE,15,0,0
17448,28,2011,12,28,23,4,6,76.18,1028.1,10,NE,17,0,0
17449,34,2011,12,29,0,4,6,76.18,1028.1,10,NE,19,0,0
17450,25,2011,12,29,1,4,5,76.01,1028.1,9,NE,21,0,0
17451,27,2011,12,29,2,4,5,76.01,1028.1,9,NE,23,0,0
17452,35,2011,12,29,3,4,5,81.34,1028.1,8,NE,25,0,0
17453,33,2011,12,29,4,4,5,81.34,1027.1,8,NE,29,0,0
17454,34,2011,12,29,5,4,4,70.88,1028.1,9,NE,34,0,0
17455,36,2011,12,29,6,4,4,70.88,1028.1,9,NE,37,0,0
17456,40,2011,12,29,7,4,4,70.88,1029.1,9,NE,40,0,0
17457,41,2011,12,29,8,4,4,70.88,1030.1,9,NE,44,0,0
17458,40,2011,12,29,9,4,4,66.27,1030.1,10,NE,49,0,0
17459,40,2011,12,29,10,4,4,62,1030.1,11,NE,55,0,0
17461,38,2011,12,29,12,4,3,57.77,1030.1,11,NE,66,0,0
17462,30,2011,12,29,13,4,1,50.08,1029.1,11,NE,71,0,0
17463,42,2011,12,29,14,4,2,53.81,1028.1,11,NE,76,0,0
17464,40,2011,12,29,15,4,3,61.76,1028.1,10,NE,83,0,0
17465,40,2011,12,29,16,4,3,61.76,1029.1,10,NE,89,0,0
17466,79,2011,12,29,17,4,3,66.05,1029.1,9,NE,95,0,0
17467,94,2011,12,29,18,4,3,66.05,1031.2,9,NE,102,0,0
17468,126,2011,12,29,19,4,3,70.67,1031.2,8,NE,108,0,0
17469,125,2011,12,29,20,4,3,75.67,1031.2,7,NE,115,0,0
17470,105,2011,12,29,21,4,3,75.67,1031.2,7,NE,120,0,0
17471,73,2011,12,29,22,4,3,81.06,1031.2,6,NE,125,0,0
17472,47,2011,12,29,23,4,1,70.27,1031.8,6,NE,131,0,0
17473,35,2011,12,30,0,4,1,70.27,1031.8,6,NE,136,0,0
17474,30,2011,12,30,1,4,0,65.36,1031.8,6,NE,141,0,0
17475,27,2011,12,30,2,4,0,70.06,1031.8,5,NE,146,0,0
17476,29,2011,12,30,3,4,0,75.14,1031.8,4,NE,151,0,0
17477,18,2011,12,30,4,4,0,75.14,1031.8,4,NE,156,0,0
17478,21,2011,12,30,5,4,0,80.63,1032.9,3,NE,160,0,0
17479,23,2011,12,30,6,4,0,80.63,1032.9,3,NE,164,0,0
17480,18,2011,12,30,7,4,0,80.63,1033.9,3,NE,168,0,0
17481,24,2011,12,30,8,4,0,75.14,1033.9,4,NE,172,0,0
17482,19,2011,12,30,9,4,-1,60.76,1034.9,6,NE,177,0,0
17483,22,2011,12,30,10,4,-1,56.72,1034.9,7,NE,184,0,0
17484,27,2011,12,30,11,4,-1,52.98,1033.9,8,NE,189,0,0
17485,32,2011,12,30,12,4,-2,49.22,1032.9,8,NE,194,0,0
17486,46,2011,12,30,13,4,-1,52.98,1031.8,8,NE,200,0,0
17487,56,2011,12,30,14,4,-1,52.98,1031.8,8,NE,205,0,0
17488,64,2011,12,30,15,4,-2,49.22,1031.8,8,NE,210,0,0
17489,71,2011,12,30,16,4,-1,56.72,1032.9,7,NE,215,0,0
17490,70,2011,12,30,17,4,-2,56.45,1032.9,6,NE,220,0,0
17491,75,2011,12,30,18,4,-1,60.76,1032.9,6,NE,225,0,0
17492,78,2011,12,30,19,4,-2,60.51,1032.9,5,NE,229,0,0
17493,68,2011,12,30,20,4,-2,60.51,1031.8,5,NE,234,0,0
17494,72,2011,12,30,21,4,-2,60.51,1032.9,5,NE,236,0,0
17495,63,2011,12,30,22,4,-2,60.51,1031.8,5,NE,239,0,0
17496,63,2011,12,30,23,4,-2,69.64,1031.8,3,NE,242,0,0
17497,64,2011,12,31,0,4,-1,69.85,1031.2,4,NE,245,0,0
17498,68,2011,12,31,1,4,-2,69.64,1031.8,3,NW,2,0,0
17499,59,2011,12,31,2,4,-2,74.78,1031.8,2,NW,5,0,0
17500,66,2011,12,31,3,4,-2,80.34,1031.2,1,NW,8,0,0
17501,77,2011,12,31,4,4,-2,74.78,1031.2,2,NE,1,0,0
17502,85,2011,12,31,5,4,-2,80.34,1030.1,1,NE,3,0,0
17503,86,2011,12,31,6,4,-2,80.34,1030.1,1,NE,6,0,0
17504,82,2011,12,31,7,4,-2,80.34,1030.1,1,NE,8,0,0
17505,85,2011,12,31,8,4,0,80.63,1030.1,3,NW,2,0,0
17506,98,2011,12,31,9,4,1,70.27,1031.2,6,cv,1,0,0
17507,100,2011,12,31,10,4,0,61.01,1031.2,7,NE,2,0,0
17508,106,2011,12,31,11,4,0,56.99,1030.1,8,NW,2,0,0
17509,94,2011,12,31,12,4,-1,49.51,1029.1,9,NE,2,0,0
17510,87,2011,12,31,13,4,-1,46.29,1027.1,10,SE,2,0,0
17511,80,2011,12,31,14,4,-1,43.31,1027.1,11,SW,2,0,0
17512,730,2011,12,31,15,4,-1,46.29,1026.1,10,SW,4,0,0
17513,80,2011,12,31,16,4,-1,46.29,1026.1,10,SW,7,0,0
17514,94,2011,12,31,17,4,-1,49.51,1027.1,9,SW,10,0,0
17515,99,2011,12,31,18,4,0,56.99,1027.1,8,NW,3,0,0
17516,101,2011,12,31,19,4,-1,56.72,1028.1,7,NE,2,0,0
17517,100,2011,12,31,20,4,1,65.59,1028.1,7,SE,2,0,0
17518,97,2011,12,31,21,4,1,65.59,1028.1,7,SE,4,0,0
17519,106,2011,12,31,22,4,1,65.59,1028.1,7,SE,7,0,0
17529,134,2012,1,1,8,4,2,80.92,1030.1,5,NE,4,0,0
17530,131,2012,1,1,9,4,1,70.27,1031.2,6,NE,9,0,0
17531,100,2012,1,1,10,4,-1,60.76,1031.2,6,NW,5,0,0
17532,98,2012,1,1,11,4,-3,45.7,1030.1,8,NW,11,0,0
17533,68,2012,1,1,12,4,-4,42.4,1029.1,8,NE,7,0,0
17534,71,2012,1,1,13,4,-3,45.7,1029.1,8,NW,6,0,0
17535,78,2012,1,1,14,4,-3,45.7,1029.1,8,NE,7,0,0
17536,85,2012,1,1,15,4,-3,45.7,1029.1,8,NE,13,0,0
17537,96,2012,1,1,16,4,-3,45.7,1029.1,8,NE,20,0,0
17538,143,2012,1,1,17,4,-1,56.72,1030.1,7,NE,27,0,0
17539,151,2012,1,1,18,4,-1,56.72,1030.1,7,NE,34,0,0
17540,162,2012,1,1,19,4,-1,65.13,1031.2,5,NE,42,0,0
17541,113,2012,1,1,20,4,-1,69.85,1031.2,4,NE,47,0,0
17542,73,2012,1,1,21,4,-2,69.64,1031.2,3,NE,51,0,0
17543,64,2012,1,1,22,4,-2,69.64,1031.2,3,NE,55,0,0
17544,57,2012,1,1,23,4,-2,74.78,1030.1,2,NE,58,0,0
17545,38,2012,1,2,0,4,-2,69.64,1030.1,3,NE,62,0,0
17546,31,2012,1,2,1,4,-3,69.43,1029.1,2,NE,65,0,0
17547,39,2012,1,2,2,4,-3,64.66,1030.1,3,NW,3,0,0
17548,38,2012,1,2,3,4,-3,69.43,1030.1,2,NW,6,0,0
17549,37,2012,1,2,4,4,-3,74.59,1029.1,1,cv,1,0,0
17550,44,2012,1,2,5,4,-3,74.59,1029.1,1,NW,2,0,0
17551,57,2012,1,2,6,4,-3,69.43,1029.1,2,NE,1,0,0
17552,58,2012,1,2,7,4,-3,74.59,1029.1,1,NW,3,0,0
17553,68,2012,1,2,8,4,-2,69.64,1030.1,3,NW,5,0,0
17554,77,2012,1,2,9,4,-1,74.96,1030.1,3,NW,6,0,0
17555,79,2012,1,2,10,4,-1,65.13,1031.2,5,NE,2,0,0
17556,55,2012,1,2,11,4,-3,48.93,1029.1,7,NE,5,0,0
17557,42,2012,1,2,12,4,-4,45.4,1028.1,7,NW,2,0,0
17558,44,2012,1,2,13,4,-4,39.63,1027.1,9,NW,5,0,0
17559,48,2012,1,2,14,4,-3,45.7,1026.1,8,cv,1,0,0
17560,50,2012,1,2,15,4,-4,42.4,1025.1,8,NE,2,0,0
17561,57,2012,1,2,16,4,-4,42.4,1025.1,8,NE,3,0,0
17562,65,2012,1,2,17,4,-3,48.93,1026.1,7,NE,7,0,0
17563,63,2012,1,2,18,4,-3,52.41,1026.1,6,NE,10,0,0
17564,54,2012,1,2,19,4,-1,60.76,1026.1,6,NE,12,0,0
17565,44,2012,1,2,20,4,-1,65.13,1027.1,5,NE,14,0,0
17566,46,2012,1,2,21,4,-2,60.51,1027.1,5,NE,16,0,0
17567,42,2012,1,2,22,4,-1,69.85,1027.1,4,NE,18,0,0
17568,39,2012,1,2,23,4,-2,69.64,1027.1,3,NE,21,0,0
17569,43,2012,1,3,0,4,-2,69.64,1027.1,3,NE,24,0,0
17570,44,2012,1,3,1,4,-1,74.96,1027.1,3,NE,26,0,0
17571,39,2012,1,3,2,4,-2,69.64,1026.1,3,NE,27,0,0
17572,40,2012,1,3,3,4,-2,74.78,1026.1,2,NE,29,0,0
17573,42,2012,1,3,4,4,-2,74.78,1026.1,2,NE,31,0,0
17574,38,2012,1,3,5,4,-1,80.49,1027.1,2,NW,3,0,0
17575,52,2012,1,3,6,4,-1,74.96,1027.1,3,NW,6,0,0
17576,58,2012,1,3,7,4,-1,74.96,1028.1,3,NW,9,0,0
17577,54,2012,1,3,8,4,-1,69.85,1028.1,4,NW,12,0,0
17578,62,2012,1,3,9,4,-1,69.85,1029.1,4,NW,15,0,0
17579,69,2012,1,3,10,4,-1,65.13,1029.1,5,NW,19,0,0
17580,85,2012,1,3,11,4,-2,60.51,1029.1,5,NW,24,0,0
17581,124,2012,1,3,12,4,-3,52.41,1028.1,6,NW,30,0,0
17582,144,2012,1,3,13,4,-2,60.51,1028.1,5,NW,38,0,0
17583,219,2012,1,3,14,4,-3,56.18,1027.1,5,NW,45,0,0
17584,194,2012,1,3,15,4,-4,52.13,1028.1,5,NW,52,0,0
17585,123,2012,1,3,16,4,-8,41.17,1028.1,4,NW,59,0,0
17586,86,2012,1,3,17,4,-8,41.17,1029.1,4,NW,65,0,0
17587,85,2012,1,3,18,4,-11,34.88,1030.1,3,NW,71,0,0
17588,63,2012,1,3,19,4,-13,29.69,1030.1,3,NW,78,0,0
17589,58,2012,1,3,20,4,-12,34.56,1031.2,2,NW,84,0,0
17590,64,2012,1,3,21,4,-12,34.56,1031.2,2,NW,90,0,0
17591,79,2012,1,3,22,4,-11,37.45,1031.8,2,NW,96,0,0
17592,85,2012,1,3,23,4,-10,40.55,1031.8,2,NW,102,0,0
17593,97,2012,1,4,0,4,-10,43.57,1031.8,1,NW,109,0,0
17594,85,2012,1,4,1,4,-10,46.84,1031.8,0,NW,114,0,0
17595,81,2012,1,4,2,4,-10,46.84,1032.9,0,NW,120,0,0
17596,105,2012,1,4,3,4,-9,50.68,1032.9,0,NW,126,0,0
17597,111,2012,1,4,4,4,-9,54.51,1032.9,-1,NW,131,0,0
17598,105,2012,1,4,5,4,-10,50.38,1032.9,-1,NW,136,0,0
17599,93,2012,1,4,6,4,-10,50.38,1033.9,-1,NW,140,0,0
17600,88,2012,1,4,7,4,-10,54.23,1034.9,-2,NW,145,0,0
17601,88,2012,1,4,8,4,-10,50.38,1034.9,-1,NW,150,0,0
17602,87,2012,1,4,9,4,-12,39.92,1035.9,0,NW,156,0,0
17603,75,2012,1,4,10,4,-13,31.88,1035.9,2,NW,163,0,0
17604,55,2012,1,4,11,4,-14,29.38,1034.9,2,NW,170,0,0
17605,44,2012,1,4,12,4,-15,25.19,1033.9,3,NW,177,0,0
17606,46,2012,1,4,13,4,-17,21.32,1032.9,3,NW,185,0,0
17607,47,2012,1,4,14,4,-17,19.87,1032.9,4,NW,193,0,0
17608,54,2012,1,4,15,4,-14,25.49,1032.9,4,NW,199,0,0
17609,47,2012,1,4,16,4,-15,25.19,1032.9,3,NW,206,0,0
17610,52,2012,1,4,17,4,-15,27.05,1032.9,2,NE,5,0,0
